Class,Description,GroupValue,Renewal Prob,Number of Months from First Unlock
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,58,0.670659,13.196429
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,59,0.775,13.346774
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,60,0.696774,13.583333
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,61,0.753968,13.178947
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,62,0.640625,13.121951
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,63,0.630435,13.149425
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,64,0.6,12.786667
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,65,0.726415,13.558442
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,66,0.726619,12.861386
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,67,0.642857,12.592593
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,68,0.796875,13.127451
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,69,0.684211,13.192308
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,70,0.719626,13.25974
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,71,0.736264,12.850746
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,72,0.723684,12.981818
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,73,0.72,12.833333
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,74,0.776471,13.166667
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,75,0.77381,12.753846
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,76,0.6875,12.75
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,77,0.761364,12.955224
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,78,0.758065,13
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,79,0.767123,12.803571
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,80,0.753247,13.241379
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,81,0.722222,13.211538
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,82,0.648148,13
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,83,0.777778,13.061224
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,84,0.757143,12.45283
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,85,0.763636,12.642857
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,86,0.693878,12.705882
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,87,0.869565,13.4
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,88,0.82,13.365854
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,89,0.736842,12.357143
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,90,0.809524,13.5
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,91,0.707317,13.896552
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,92,0.634146,12.307692
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,93,0.75,12.541667
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,94,0.783784,12.758621
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,95,0.861111,13.612903
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,96,0.870968,12.555556
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,97,0.828571,13.517241
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,98,0.7,12.238095
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,99,0.757576,12.84
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,100,0.733333,13.136364
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,101,0.904762,12
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,102,0.62069,13.166667
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,103,0.689655,12.65
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,104,0.666667,13.111111
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,105,0.771429,12.666667
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,106,0.791667,12.210526
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,107,0.857143,13.875
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,108,0.884615,13
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,109,0.826087,13
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,110,0.8,13.083333
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,111,0.827586,13.583333
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,112,0.789474,12.533333
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,113,0.714286,12.733333
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,114,0.894737,12.117647
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,115,1,12.214286
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,116,0.894737,12.705882
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,117,0.85,12.764706
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,118,0.692308,12.111111
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,119,0.777778,12.785714
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,120,0.818182,13
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,121,0.8125,12.307692
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,122,0.923077,12.583333
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,123,0.714286,12.2
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,124,0.666667,12.625
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,125,0.777778,13.714286
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,126,0.75,12.666667
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,127,0.846154,12
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,128,0.692308,12.333333
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,129,0.846154,12
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,130,0.909091,13.2
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,131,0.875,12.857143
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,132,0.636364,13
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,133,0.8,13.5
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,134,0.941176,12.4375
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,135,1,12
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,136,0.857143,12.333333
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,137,0.857143,12
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,138,0.666667,13.25
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,139,1,12.545455
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,140,1,12.166667
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,141,0.714286,13
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,142,0.833333,12
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,143,0.25,12
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,144,0.777778,12.571429
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,145,0.777778,12.285714
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,146,1,12
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,147,1,14
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,148,1,12
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,149,0.888889,12.375
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,150,1,12.125
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,151,1,14.166667
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,152,0.888889,13.625
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,153,1,13.75
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,154,1,12
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,155,1,14
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,156,0.714286,12.2
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,157,0.8,12
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,158,1,12.75
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,159,0.5,12
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,161,1,12.25
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,162,1,13
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,163,1,12
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,164,1,15.333333
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,165,1,13.25
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,166,0.5,12
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,167,1,12
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,168,1,12
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,169,0.75,12
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,170,0.75,12
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,171,1,12.5
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,172,1,12
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,173,1,12
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,174,0.5,12
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,175,0.8,14.25
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,178,1,12.2
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,179,0,
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,180,0,
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,181,1,13.5
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,182,1,12.25
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,183,1,12.333333
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,184,0.8,12.25
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,185,1,12
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,186,1,12
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,187,0.666667,12
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,188,1,13.666667
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,189,1,12
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,190,0.75,13.666667
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,191,0,
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,192,0.5,12
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,193,1,12
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,194,1,12
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,195,1,14
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,196,0.8,12.75
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,200,1,12
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,201,1,12
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,203,1,12
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,204,1,23
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,206,1,12.5
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,207,1,12
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,208,1,12
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,209,1,12
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,210,1,12
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,211,1,12
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,213,0,
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,214,1,12
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,216,1,12
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,217,1,25
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,218,1,16
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,219,1,13
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,221,1,12
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,223,1,12
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,224,1,12
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,225,1,12
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,228,1,15
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,232,1,12
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,234,1,10
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,235,1,12
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,236,1,12
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,237,1,12.5
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,242,1,12
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,244,1,12
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,250,1,12
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,253,1,12
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,254,1,12.5
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,256,1,11
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,257,1,13
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,265,1,12
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,268,0,
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,271,1,12
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,272,1,12
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,282,1,12
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,284,1,12
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,285,1,12
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,290,1,12
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,292,1,12
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,293,1,13
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,295,0,
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,296,1,12
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,304,1,12
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,308,1,12
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,314,1,13.5
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,315,1,13
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,339,1,12
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,341,1,12
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,349,1,12
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,436,1,12
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,454,1,12
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,460,1,11
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,523,1,12
benefit_guide_views,Number of 'Benefit guide views' events recorded for the employee during the observation window.,3417,1,12
,,,,
credit_card_requested,Number of 'Credit card requests' events recorded for the employee during the observation window.,0,0.24424,13.730183
credit_card_requested,Number of 'Credit card requests' events recorded for the employee during the observation window.,1,0.568921,13.273017
,,,,
expense_created,Number of 'Expense submissions' events recorded for the employee during the observation window.,0,0.148265,14.213224
expense_created,Number of 'Expense submissions' events recorded for the employee during the observation window.,1,0.341057,13.716726
expense_created,Number of 'Expense submissions' events recorded for the employee during the observation window.,2,0.434698,13.662201
expense_created,Number of 'Expense submissions' events recorded for the employee during the observation window.,3,0.514982,13.486686
expense_created,Number of 'Expense submissions' events recorded for the employee during the observation window.,4,0.546333,13.425259
expense_created,Number of 'Expense submissions' events recorded for the employee during the observation window.,5,0.560581,13.34567
expense_created,Number of 'Expense submissions' events recorded for the employee during the observation window.,6,0.567393,13.411354
expense_created,Number of 'Expense submissions' events recorded for the employee during the observation window.,7,0.599086,13.42612
expense_created,Number of 'Expense submissions' events recorded for the employee during the observation window.,8,0.611496,13.295583
expense_created,Number of 'Expense submissions' events recorded for the employee during the observation window.,9,0.668654,13.225478
expense_created,Number of 'Expense submissions' events recorded for the employee during the observation window.,10,0.643725,13.256289
expense_created,Number of 'Expense submissions' events recorded for the employee during the observation window.,11,0.679335,13.061189
expense_created,Number of 'Expense submissions' events recorded for the employee during the observation window.,12,0.710526,12.91358
expense_created,Number of 'Expense submissions' events recorded for the employee during the observation window.,13,0.717687,13.14218
expense_created,Number of 'Expense submissions' events recorded for the employee during the observation window.,14,0.730097,13.079787
expense_created,Number of 'Expense submissions' events recorded for the employee during the observation window.,15,0.731132,12.806452
expense_created,Number of 'Expense submissions' events recorded for the employee during the observation window.,16,0.761273,12.560976
expense_created,Number of 'Expense submissions' events recorded for the employee during the observation window.,17,0.7737,12.810277
expense_created,Number of 'Expense submissions' events recorded for the employee during the observation window.,18,0.784722,12.849558
expense_created,Number of 'Expense submissions' events recorded for the employee during the observation window.,19,0.804688,12.703883
expense_created,Number of 'Expense submissions' events recorded for the employee during the observation window.,20,0.768519,12.680723
expense_created,Number of 'Expense submissions' events recorded for the employee during the observation window.,21,0.827225,12.898734
expense_created,Number of 'Expense submissions' events recorded for the employee during the observation window.,22,0.8,13.034722
expense_created,Number of 'Expense submissions' events recorded for the employee during the observation window.,23,0.836478,12.548872
expense_created,Number of 'Expense submissions' events recorded for the employee during the observation window.,24,0.858333,12.563107
expense_created,Number of 'Expense submissions' events recorded for the employee during the observation window.,25,0.864,12.805556
expense_created,Number of 'Expense submissions' events recorded for the employee during the observation window.,26,0.892857,12.43
expense_created,Number of 'Expense submissions' events recorded for the employee during the observation window.,27,0.855856,12.463158
expense_created,Number of 'Expense submissions' events recorded for the employee during the observation window.,28,0.940476,12.544304
expense_created,Number of 'Expense submissions' events recorded for the employee during the observation window.,29,0.894118,12.710526
expense_created,Number of 'Expense submissions' events recorded for the employee during the observation window.,30,0.8,12.480769
expense_created,Number of 'Expense submissions' events recorded for the employee during the observation window.,31,0.818182,12.222222
expense_created,Number of 'Expense submissions' events recorded for the employee during the observation window.,32,0.901961,12.652174
expense_created,Number of 'Expense submissions' events recorded for the employee during the observation window.,33,0.893617,12.595238
expense_created,Number of 'Expense submissions' events recorded for the employee during the observation window.,34,0.862745,12.340909
expense_created,Number of 'Expense submissions' events recorded for the employee during the observation window.,35,0.906977,12.205128
expense_created,Number of 'Expense submissions' events recorded for the employee during the observation window.,36,0.96875,12.516129
expense_created,Number of 'Expense submissions' events recorded for the employee during the observation window.,37,0.941176,12.46875
expense_created,Number of 'Expense submissions' events recorded for the employee during the observation window.,38,0.875,12.357143
expense_created,Number of 'Expense submissions' events recorded for the employee during the observation window.,39,0.933333,12.714286
expense_created,Number of 'Expense submissions' events recorded for the employee during the observation window.,40,0.818182,12.222222
expense_created,Number of 'Expense submissions' events recorded for the employee during the observation window.,41,0.913043,12.714286
expense_created,Number of 'Expense submissions' events recorded for the employee during the observation window.,42,0.925926,12.28
expense_created,Number of 'Expense submissions' events recorded for the employee during the observation window.,43,0.884615,12.26087
expense_created,Number of 'Expense submissions' events recorded for the employee during the observation window.,44,0.857143,12.055556
expense_created,Number of 'Expense submissions' events recorded for the employee during the observation window.,45,0.833333,13.2
expense_created,Number of 'Expense submissions' events recorded for the employee during the observation window.,46,1,12.722222
expense_created,Number of 'Expense submissions' events recorded for the employee during the observation window.,47,0.875,12.214286
expense_created,Number of 'Expense submissions' events recorded for the employee during the observation window.,48,1,12.0625
expense_created,Number of 'Expense submissions' events recorded for the employee during the observation window.,49,0.928571,12.538462
expense_created,Number of 'Expense submissions' events recorded for the employee during the observation window.,50,1,12.2
expense_created,Number of 'Expense submissions' events recorded for the employee during the observation window.,51,0.909091,12
expense_created,Number of 'Expense submissions' events recorded for the employee during the observation window.,52,0.777778,12.285714
expense_created,Number of 'Expense submissions' events recorded for the employee during the observation window.,53,0.875,12.285714
expense_created,Number of 'Expense submissions' events recorded for the employee during the observation window.,54,1,12.375
expense_created,Number of 'Expense submissions' events recorded for the employee during the observation window.,55,0.777778,12.142857
expense_created,Number of 'Expense submissions' events recorded for the employee during the observation window.,56,1,12
expense_created,Number of 'Expense submissions' events recorded for the employee during the observation window.,57,1,12
expense_created,Number of 'Expense submissions' events recorded for the employee during the observation window.,58,1,12.666667
expense_created,Number of 'Expense submissions' events recorded for the employee during the observation window.,59,0.875,12
expense_created,Number of 'Expense submissions' events recorded for the employee during the observation window.,60,0.833333,12.6
expense_created,Number of 'Expense submissions' events recorded for the employee during the observation window.,61,1,12.25
expense_created,Number of 'Expense submissions' events recorded for the employee during the observation window.,62,0.8,12
expense_created,Number of 'Expense submissions' events recorded for the employee during the observation window.,63,1,12.2
expense_created,Number of 'Expense submissions' events recorded for the employee during the observation window.,64,0.8,12
expense_created,Number of 'Expense submissions' events recorded for the employee during the observation window.,65,1,12.666667
expense_created,Number of 'Expense submissions' events recorded for the employee during the observation window.,66,1,12.5
expense_created,Number of 'Expense submissions' events recorded for the employee during the observation window.,68,1,12
expense_created,Number of 'Expense submissions' events recorded for the employee during the observation window.,70,1,12
expense_created,Number of 'Expense submissions' events recorded for the employee during the observation window.,71,1,12
expense_created,Number of 'Expense submissions' events recorded for the employee during the observation window.,72,1,12
expense_created,Number of 'Expense submissions' events recorded for the employee during the observation window.,73,1,12
expense_created,Number of 'Expense submissions' events recorded for the employee during the observation window.,74,1,12.5
expense_created,Number of 'Expense submissions' events recorded for the employee during the observation window.,75,0.75,12
expense_created,Number of 'Expense submissions' events recorded for the employee during the observation window.,76,1,12
expense_created,Number of 'Expense submissions' events recorded for the employee during the observation window.,77,1,12
expense_created,Number of 'Expense submissions' events recorded for the employee during the observation window.,78,1,12.333333
expense_created,Number of 'Expense submissions' events recorded for the employee during the observation window.,79,1,12
expense_created,Number of 'Expense submissions' events recorded for the employee during the observation window.,81,1,14.5
expense_created,Number of 'Expense submissions' events recorded for the employee during the observation window.,82,0.5,12
expense_created,Number of 'Expense submissions' events recorded for the employee during the observation window.,83,0.5,12
expense_created,Number of 'Expense submissions' events recorded for the employee during the observation window.,84,1,12.5
expense_created,Number of 'Expense submissions' events recorded for the employee during the observation window.,87,1,12
expense_created,Number of 'Expense submissions' events recorded for the employee during the observation window.,89,1,12
expense_created,Number of 'Expense submissions' events recorded for the employee during the observation window.,90,1,12
expense_created,Number of 'Expense submissions' events recorded for the employee during the observation window.,92,1,12
expense_created,Number of 'Expense submissions' events recorded for the employee during the observation window.,93,1,12
expense_created,Number of 'Expense submissions' events recorded for the employee during the observation window.,95,1,12
expense_created,Number of 'Expense submissions' events recorded for the employee during the observation window.,101,1,12
expense_created,Number of 'Expense submissions' events recorded for the employee during the observation window.,102,0.666667,12.5
expense_created,Number of 'Expense submissions' events recorded for the employee during the observation window.,104,1,12
expense_created,Number of 'Expense submissions' events recorded for the employee during the observation window.,106,1,12
expense_created,Number of 'Expense submissions' events recorded for the employee during the observation window.,110,1,11
expense_created,Number of 'Expense submissions' events recorded for the employee during the observation window.,114,1,12
expense_created,Number of 'Expense submissions' events recorded for the employee during the observation window.,115,1,12
expense_created,Number of 'Expense submissions' events recorded for the employee during the observation window.,118,1,12
expense_created,Number of 'Expense submissions' events recorded for the employee during the observation window.,120,1,12
expense_created,Number of 'Expense submissions' events recorded for the employee during the observation window.,159,1,12
expense_created,Number of 'Expense submissions' events recorded for the employee during the observation window.,173,1,12
expense_created,Number of 'Expense submissions' events recorded for the employee during the observation window.,175,1,12
expense_created,Number of 'Expense submissions' events recorded for the employee during the observation window.,228,1,12
expense_created,Number of 'Expense submissions' events recorded for the employee during the observation window.,235,1,12
,,,,
group_session_scheduled,Number of 'Group session scheduling events' events recorded for the employee during the observation window.,0,0.289173,13.61007
group_session_scheduled,Number of 'Group session scheduling events' events recorded for the employee during the observation window.,1,0.421105,13.070258
group_session_scheduled,Number of 'Group session scheduling events' events recorded for the employee during the observation window.,2,0.572222,13.834951
group_session_scheduled,Number of 'Group session scheduling events' events recorded for the employee during the observation window.,3,0.477612,12.84375
group_session_scheduled,Number of 'Group session scheduling events' events recorded for the employee during the observation window.,4,0.695652,12.3125
group_session_scheduled,Number of 'Group session scheduling events' events recorded for the employee during the observation window.,5,0.692308,12.777778
group_session_scheduled,Number of 'Group session scheduling events' events recorded for the employee during the observation window.,6,0.833333,12
group_session_scheduled,Number of 'Group session scheduling events' events recorded for the employee during the observation window.,7,0.333333,12
group_session_scheduled,Number of 'Group session scheduling events' events recorded for the employee during the observation window.,8,1,12
group_session_scheduled,Number of 'Group session scheduling events' events recorded for the employee during the observation window.,11,0.5,14
,,,,
logins,Number of 'Portal/App logins' events recorded for the employee during the observation window.,0,0.000335,12
logins,Number of 'Portal/App logins' events recorded for the employee during the observation window.,1,0.02642,14.825911
logins,Number of 'Portal/App logins' events recorded for the employee during the observation window.,2,0.117062,14.708333
logins,Number of 'Portal/App logins' events recorded for the employee during the observation window.,3,0.216443,14.507571
logins,Number of 'Portal/App logins' events recorded for the employee during the observation window.,4,0.260253,14.566274
logins,Number of 'Portal/App logins' events recorded for the employee during the observation window.,5,0.347322,14.22814
logins,Number of 'Portal/App logins' events recorded for the employee during the observation window.,6,0.355,14.005634
